,song,surprise,Album,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity,Unnamed: 0,venue_name,state,date,names
0,mad woman,surprise song,folklore (deluxe version),0.593,0.7,3.0,-9.016,1.0,0.0492,0.67,6.77e-06,0.116,0.451,141.898,72.0,5.0,Raymond James Stadium,Florida,2023-04-15,mad woman
1,king of my heart,surprise song,reputation,0.675,0.703,0.0,-7.902,1.0,0.0382,0.00882,2.21e-06,0.0391,0.314,110.01,80.0,3.0,SoFi Stadium,California,2023-08-08,king of my heart
2,the great war,surprise song,Midnights (The Til Dawn Edition),0.573,0.737,5.0,-9.002,1.0,0.0352,0.203,2.78e-05,0.0851,0.592,96.009,68.0,6.0,Raymond James Stadium,Florida,2023-04-14,the great war
3,jump then fall,surprise song,Fearless (Taylor's Version),0.572,0.69,2.0,-6.201,1.0,0.0358,0.0474,0.0,0.0897,0.624,160.111,69.0,8.0,AT&T Stadium,Texas,2023-04-02,jump then fall
4,ivy,surprise song,evermore (deluxe version),0.515,0.545,2.0,-9.277,1.0,0.0353,0.855,1.97e-05,0.0921,0.535,88.856,71.0,16.0,Paycor Stadium,Ohio,2023-07-01,ivy
5,the lakes,surprise song,folklore (deluxe version),0.313,0.258,2.0,-11.532,1.0,0.0383,0.842,1.3e-06,0.0948,0.268,179.947,74.0,6.0,Soldier Field,Illinois,2023-06-02,the lakes
6,invisible,surprise song,Taylor Swift,0.612,0.394,7.0,-5.723,1.0,0.0243,0.637,0.0,0.147,0.233,96.001,60.0,11.0,Gillette Stadium,Massachusetts,2023-05-20,invisible
7,the last time,surprise song,Red (Taylor's Version),0.502,0.534,2.0,-5.954,1.0,0.0278,0.0399,0.0,0.0977,0.155,94.05,74.0,1.0,Acrisure Stadium,Pennsylvania,2023-06-16,the last time
8,im only me when im with you,surprise song,Taylor Swift,0.563,0.934,8.0,-3.629,1.0,0.0646,0.00452,0.000807,0.103,0.518,143.964,64.0,17.0,Paycor Stadium,Ohio,2023-06-30,im only me when im with you
9,the lucky one,surprise song,Red (Taylor's Version),0.686,0.571,4.0,-7.138,1.0,0.05,0.066,0.0,0.0608,0.538,117.889,71.0,8.0,AT&T Stadium,Texas,2023-04-02,the lucky one
10,if this was a movie,surprise song,,,,,,,,,,,,,,19.0,U.S. Bank Stadium,Minnesota,2023-06-23,if this was a movie
11,i wish you would,surprise song,1989 (Deluxe),0.653,0.893,0.0,-5.966,1.0,0.0538,0.0158,4.95e-05,0.102,0.513,118.035,74.0,6.0,Soldier Field,Illinois,2023-06-02,i wish you would
12,i think he knows,surprise song,Lover,0.897,0.366,0.0,-8.029,1.0,0.0569,0.00889,0.000353,0.0715,0.416,100.003,80.0,10.0,Gillette Stadium,Massachusetts,2023-05-21,i think he knows
13,i miss you im sorry,surprise song,,,,,,,,,,,,,,16.0,Paycor Stadium,Ohio,2023-07-01,i miss you im sorry
14,i know places,surprise song,1989 (Deluxe),0.602,0.755,0.0,-4.991,1.0,0.071,0.245,0.0,0.178,0.495,159.965,72.0,3.0,SoFi Stadium,California,2023-08-08,i know places
15,the moment i knew,surprise song,Red (Taylor's Version),0.636,0.402,7.0,-7.855,1.0,0.031,0.0494,0.0,0.107,0.208,125.952,70.0,4.0,Soldier Field,Illinois,2023-06-04,the moment i knew
16,i dont wanna live forever,surprise song,,,,,,,,,,,,,,5.0,Soldier Field,Illinois,2023-06-03,i dont wanna live forever
17,the other side of the door,surprise song,Fearless (Taylor's Version),0.432,0.873,4.0,-4.367,1.0,0.0577,0.0279,0.0,0.167,0.629,163.936,71.0,1.0,Mercedes-Benz Stadium,Georgia,2023-04-28,the other side of the door
18,i bet you think about me,surprise song,Red (Taylor's Version),0.391,0.715,0.0,-4.516,1.0,0.0495,0.167,0.0,0.183,0.473,149.654,78.0,19.0,Mercedes-Benz Stadium,Georgia,2023-04-30,i bet you think about me
19,i almost do,surprise song,Red (Taylor's Version),0.511,0.559,4.0,-6.587,1.0,0.0264,0.0167,0.0,0.113,0.248,145.88,72.0,3.0,Ford Field,Michigan,2023-06-09,i almost do
20,last kiss,surprise song,Speak Now (Taylor's Version),0.55,0.366,10.0,-8.46,1.0,0.0276,0.447,4.43e-06,0.101,0.16,79.401,82.0,14.0,GEHA Field at Arrowhead Stadium,Missouri,2023-07-08,last kiss
21,the best day,surprise song,Fearless (Taylor's Version),0.642,0.576,1.0,-8.524,1.0,0.0282,0.488,0.0,0.159,0.469,125.0,69.0,13.0,Lincoln Financial Field,Pennsylvania,2023-05-14,the best day
22,teardrops on my guitar,surprise song,Taylor Swift,0.621,0.417,10.0,-6.941,1.0,0.0231,0.288,0.0,0.119,0.289,99.953,70.0,18.0,Nissan Stadium,Tennessee,2023-05-05,teardrops on my guitar
23,stay stay stay,surprise song,Red (Taylor's Version),0.693,0.681,0.0,-7.039,1.0,0.025,0.0848,0.0,0.0768,0.663,100.02,72.0,8.0,Levi's Stadium,California,2023-07-29,stay stay stay
24,paper rings,surprise song,Lover,0.811,0.719,9.0,-6.553,1.0,0.0497,0.0129,1.36e-05,0.0742,0.865,103.979,87.0,19.0,U.S. Bank Stadium,Minnesota,2023-06-23,paper rings
25,picture to burn,surprise song,Taylor Swift,0.658,0.877,7.0,-2.098,1.0,0.0323,0.173,0.0,0.0962,0.821,105.586,74.0,13.0,Empower Field at Mile High,Colorado,2023-07-14,picture to burn
26,question,surprise song,Midnights (The Til Dawn Edition),0.741,0.509,7.0,-8.747,1.0,0.19,0.205,0.0,0.262,0.113,108.978,67.0,11.0,Gillette Stadium,Massachusetts,2023-05-20,question
27,new years day,surprise song,reputation,0.661,0.151,0.0,-12.864,1.0,0.0354,0.921,0.0,0.13,0.23,94.922,77.0,2.0,SoFi Stadium,California,2023-08-09,new years day
28,new romantics,surprise song,1989 (Deluxe),0.633,0.889,5.0,-5.87,1.0,0.0715,0.00463,0.000458,0.0658,0.584,121.956,80.0,2.0,SoFi Stadium,California,2023-08-09,new romantics
29,never grow up,surprise song,Speak Now (Taylor's Version),0.685,0.323,2.0,-7.103,1.0,0.0289,0.851,0.0,0.198,0.569,125.058,80.0,15.0,GEHA Field at Arrowhead Stadium,Missouri,2023-07-07,never grow up
30,right where you left me,surprise song,,,,,,,,,,,,,,9.0,Levi's Stadium,California,2023-07-28,right where you left me
31,mr perfectly fine,surprise song,Fearless (Taylor's Version),0.66,0.817,11.0,-6.269,0.0,0.0521,0.162,0.0,0.0667,0.714,135.942,78.0,1.0,Acrisure Stadium,Pennsylvania,2023-06-16,mr perfectly fine
32,sad beautiful tragic,surprise song,Red (Taylor's Version),0.601,0.406,7.0,-11.827,1.0,0.0275,0.622,9.19e-05,0.133,0.232,130.059,72.0,10.0,AT&T Stadium,Texas,2023-03-31,sad beautiful tragic
33,how you get the girl,surprise song,1989 (Deluxe),0.765,0.656,5.0,-6.112,1.0,0.0504,0.00364,0.00868,0.0918,0.545,119.997,74.0,19.0,Mercedes-Benz Stadium,Georgia,2023-04-30,how you get the girl
34,mirrorball,surprise song,folklore (deluxe version),0.549,0.417,7.0,-10.064,1.0,0.035,0.686,1.9e-06,0.0604,0.347,110.137,74.0,14.0,State Farm Stadium,Arizona,2023-03-17,mirrorball
35,shouldve said no,surprise song,Taylor Swift,0.476,0.777,4.0,-3.771,0.0,0.0289,0.0103,0.0,0.196,0.472,167.964,71.0,12.0,Gillette Stadium,Massachusetts,2023-05-19,shouldve said no
36,message in a bottle,surprise song,Red (Taylor's Version),0.622,0.791,7.0,-6.106,1.0,0.0535,0.00188,3.72e-06,0.083,0.494,115.915,75.0,10.0,Lumen Field,Washington,2023-07-23,message in a bottle
37,mean,surprise song,Speak Now (Taylor's Version),0.524,0.692,4.0,-3.866,1.0,0.0369,0.311,0.0,0.192,0.621,163.874,84.0,5.0,Raymond James Stadium,Florida,2023-04-15,mean
38,snow on the beach,surprise song,Midnights (The Til Dawn Edition),0.653,0.331,9.0,-13.534,1.0,0.039,0.705,0.0013,0.116,0.166,110.014,68.0,12.0,Allegiant Stadium,Nevada,2023-03-24,snow on the beach
39,sparks fly,surprise song,Speak Now (Taylor's Version),0.588,0.758,5.0,-2.347,1.0,0.0305,0.0251,0.0,0.131,0.387,114.991,85.0,18.0,Nissan Stadium,Tennessee,2023-05-05,sparks fly
40,speak now,surprise song,Speak Now (Taylor's Version),0.727,0.677,7.0,-2.871,1.0,0.0325,0.248,0.0,0.143,0.639,118.995,85.0,7.0,Raymond James Stadium,Florida,2023-04-13,speak now
41,youre not sorry,surprise song,Fearless (Taylor's Version),0.506,0.444,6.0,-4.99,1.0,0.0285,0.0538,0.0,0.123,0.241,133.873,71.0,4.0,NRG Stadium,Texas,2023-04-21,youre not sorry
42,starlight,surprise song,Red (Taylor's Version),0.628,0.685,4.0,-5.864,1.0,0.0358,0.00324,0.0,0.18,0.605,126.014,70.0,12.0,Empower Field at Mile High,Colorado,2023-07-15,starlight
43,state of grace,surprise song,Red (Taylor's Version),0.594,0.713,9.0,-5.314,1.0,0.0503,0.000328,0.0,0.114,0.328,129.958,73.0,13.0,State Farm Stadium,Arizona,2023-03-18,state of grace
44,mine,surprise song,Speak Now (Taylor's Version),0.646,0.783,7.0,-2.846,1.0,0.0356,0.00444,1.38e-06,0.171,0.49,121.08,88.0,16.0,Nissan Stadium,Tennessee,2023-05-07,mine
45,holy ground,surprise song,Red (Taylor's Version),0.622,0.809,9.0,-5.623,1.0,0.0638,0.0288,0.00218,0.109,0.511,156.894,71.0,8.0,MetLife Stadium,New Jersey,2023-05-27,holy ground
46,hits different,surprise song,Midnights (The Til Dawn Edition),0.672,0.782,5.0,-6.499,1.0,0.0421,0.148,4.73e-06,0.296,0.239,106.026,85.0,4.0,Soldier Field,Illinois,2023-06-04,hits different
47,high infidelity,surprise song,Midnights (The Til Dawn Edition),0.564,0.545,10.0,-10.17,1.0,0.104,0.726,0.0,0.0878,0.766,176.082,65.0,0.0,Mercedes-Benz Stadium,Georgia,2023-04-29,high infidelity
48,cold as you,surprise song,Taylor Swift,0.418,0.482,5.0,-5.769,1.0,0.0266,0.217,0.0,0.123,0.261,175.558,62.0,2.0,NRG Stadium,Texas,2023-04-23,cold as you
49,timeless,surprise song,Speak Now (Taylor's Version),0.624,0.585,3.0,-5.847,1.0,0.0328,0.3,0.0,0.0916,0.65,142.883,83.0,13.0,Empower Field at Mile High,Colorado,2023-07-14,timeless
50,today was a fairytale,surprise song,Fearless (Taylor's Version),0.482,0.779,7.0,-5.025,1.0,0.0409,0.0135,0.0,0.296,0.328,158.162,69.0,3.0,NRG Stadium,Texas,2023-04-22,today was a fairytale
51,castles crumbling,surprise song,Speak Now (Taylor's Version),0.576,0.57,7.0,-7.925,1.0,0.0434,0.362,0.0,0.0668,0.378,147.803,83.0,9.0,Levi's Stadium,California,2023-07-28,castles crumbling
52,treacherous,surprise song,Red (Taylor's Version),0.645,0.593,2.0,-6.506,1.0,0.0288,0.0344,0.000127,0.13,0.299,109.984,73.0,7.0,Raymond James Stadium,Florida,2023-04-13,treacherous
53,call it what you want,surprise song,reputation,0.598,0.504,9.0,-9.874,1.0,0.0731,0.186,0.000221,0.34,0.252,163.954,82.0,16.0,Paycor Stadium,Ohio,2023-07-01,call it what you want
54,breathe,surprise song,Fearless (Taylor's Version),0.506,0.626,1.0,-6.066,1.0,0.0287,0.156,0.0,0.228,0.321,148.035,70.0,2.0,Ford Field,Michigan,2023-06-10,breathe
55,welcome to new york,surprise song,1989 (Deluxe),0.789,0.634,7.0,-4.762,1.0,0.0323,0.0348,1.64e-06,0.302,0.658,116.992,71.0,7.0,MetLife Stadium,New Jersey,2023-05-28,welcome to new york
56,when emma falls in love,surprise song,Speak Now (Taylor's Version),0.474,0.763,2.0,-4.632,1.0,0.0505,0.159,0.0,0.138,0.231,78.133,83.0,15.0,GEHA Field at Arrowhead Stadium,Missouri,2023-07-07,when emma falls in love
57,come back be here,surprise song,,,,,,,,,,,,,,15.0,Lincoln Financial Field,Pennsylvania,2023-05-12,come back be here
58,better man,surprise song,Red (Taylor's Version),0.473,0.579,4.0,-5.824,1.0,0.0384,0.214,0.0,0.0877,0.255,73.942,74.0,12.0,Gillette Stadium,Massachusetts,2023-05-19,better man
59,begin again,surprise song,Red (Taylor's Version),0.519,0.527,7.0,-7.673,1.0,0.0274,0.075,0.0,0.132,0.267,78.915,73.0,2.0,NRG Stadium,Texas,2023-04-23,begin again
60,wonderland,surprise song,1989 (Deluxe),0.422,0.692,3.0,-5.447,1.0,0.0549,0.0493,2.57e-05,0.177,0.197,184.014,75.0,4.0,NRG Stadium,Texas,2023-04-21,wonderland
61,back to december,surprise song,Speak Now (Taylor's Version),0.497,0.635,2.0,-3.927,1.0,0.0273,0.00621,0.0,0.117,0.203,142.063,88.0,12.0,Empower Field at Mile High,Colorado,2023-07-15,back to december
62,wouldve couldve shouldve,surprise song,Midnights (The Til Dawn Edition),0.482,0.837,0.0,-6.501,1.0,0.12,0.435,0.00147,0.123,0.534,157.96,68.0,16.0,Nissan Stadium,Tennessee,2023-05-07,wouldve couldve shouldve
63,you all over me,surprise song,Fearless (Taylor's Version),0.599,0.494,2.0,-7.61,1.0,0.0372,0.816,0.0,0.101,0.44,142.893,67.0,5.0,Soldier Field,Illinois,2023-06-03,you all over me
64,all you had to do was stay,surprise song,1989 (Deluxe),0.605,0.725,5.0,-5.729,1.0,0.0323,0.00201,2.02e-05,0.101,0.539,96.97,71.0,2.0,Ford Field,Michigan,2023-06-10,all you had to do was stay
65,you are in love,surprise song,1989 (Deluxe),0.474,0.48,2.0,-8.894,1.0,0.0622,0.707,0.000108,0.0903,0.319,170.109,74.0,6.0,SoFi Stadium,California,2023-08-04,you are in love
66,all of the girls you loved before,surprise song,,,,,,,,,,,,,,8.0,Levi's Stadium,California,2023-07-29,all of the girls you loved before
67,a place in this world,surprise song,Taylor Swift,0.576,0.777,9.0,-2.881,1.0,0.0324,0.051,0.0,0.32,0.428,115.028,62.0,3.0,NRG Stadium,Texas,2023-04-22,a place in this world
68,white horse,surprise song,Fearless (Taylor's Version),0.423,0.517,0.0,-7.377,1.0,0.0486,0.369,0.0,0.177,0.366,185.262,74.0,11.0,Allegiant Stadium,Nevada,2023-03-25,white horse
69,ours,surprise song,Speak Now (Taylor's Version),0.535,0.488,0.0,-8.261,1.0,0.0278,0.449,0.0,0.111,0.348,159.813,80.0,10.0,AT&T Stadium,Texas,2023-03-31,ours
70,coney island,surprise song,evermore (deluxe version),0.537,0.537,8.0,-11.266,1.0,0.0617,0.819,0.000904,0.142,0.292,107.895,70.0,1.0,Mercedes-Benz Stadium,Georgia,2023-04-28,coney island
71,tim mcgraw,surprise song,Taylor Swift,0.58,0.491,0.0,-6.462,1.0,0.0251,0.575,0.0,0.121,0.425,76.009,70.0,14.0,State Farm Stadium,Arizona,2023-03-17,tim mcgraw
72,hey stephen,surprise song,Fearless (Taylor's Version),0.788,0.571,6.0,-6.135,1.0,0.0296,0.106,0.0,0.0934,0.797,115.99,73.0,13.0,Lincoln Financial Field,Pennsylvania,2023-05-14,hey stephen
73,haunted,surprise song,Speak Now (Taylor's Version),0.427,0.915,5.0,-1.909,1.0,0.0619,0.00667,0.0,0.221,0.355,162.201,82.0,3.0,Ford Field,Michigan,2023-06-09,haunted
74,gorgeous,surprise song,reputation,0.8,0.535,7.0,-6.684,1.0,0.135,0.0713,9.48e-06,0.213,0.451,92.027,85.0,0.0,Mercedes-Benz Stadium,Georgia,2023-04-29,gorgeous
75,gold rush,surprise song,evermore (deluxe version),0.512,0.462,9.0,-10.491,1.0,0.0408,0.83,0.166,0.121,0.353,112.05,72.0,15.0,Lincoln Financial Field,Pennsylvania,2023-05-12,gold rush
76,getaway car,surprise song,reputation,0.562,0.689,2.0,-6.745,1.0,0.127,0.00465,2.23e-06,0.0888,0.351,172.054,88.0,9.0,MetLife Stadium,New Jersey,2023-05-26,getaway car
77,forever  always,surprise song,Fearless (Taylor's Version),0.598,0.821,10.0,-4.433,1.0,0.0447,0.0231,0.0,0.143,0.673,128.03,75.0,14.0,Lincoln Financial Field,Pennsylvania,2023-05-13,forever  always
78,fifteen,surprise song,Fearless (Taylor's Version),0.559,0.646,7.0,-4.61,1.0,0.0272,0.116,0.0,0.32,0.289,95.466,74.0,17.0,Nissan Stadium,Tennessee,2023-05-06,fifteen
79,the story of us,surprise song,Speak Now (Taylor's Version),0.515,0.781,4.0,-2.608,1.0,0.0535,0.00192,0.0,0.054,0.57,139.846,84.0,0.0,Acrisure Stadium,Pennsylvania,2023-06-17,the story of us
80,false god,surprise song,Lover,0.739,0.32,11.0,-10.862,0.0,0.239,0.736,0.000147,0.111,0.351,79.97,80.0,8.0,MetLife Stadium,New Jersey,2023-05-27,false god
81,cowboy like me,surprise song,evermore (deluxe version),0.604,0.517,0.0,-9.014,1.0,0.0347,0.768,0.000155,0.123,0.511,127.967,70.0,11.0,Allegiant Stadium,Nevada,2023-03-25,cowboy like me
82,exile,surprise song,folklore (deluxe version),0.31,0.374,6.0,-8.464,1.0,0.0275,0.761,2.46e-05,0.11,0.16,75.938,75.0,4.0,SoFi Stadium,California,2023-08-07,exile
83,evermore,surprise song,evermore (deluxe version),0.39,0.27,1.0,-10.673,1.0,0.0308,0.937,0.00227,0.111,0.32,125.177,71.0,17.0,Paycor Stadium,Ohio,2023-06-30,evermore
84,this is me trying,surprise song,folklore (deluxe version),0.511,0.478,9.0,-9.837,1.0,0.0322,0.312,2.3e-05,0.147,0.408,135.882,74.0,13.0,State Farm Stadium,Arizona,2023-03-18,this is me trying
85,dress,surprise song,reputation,0.719,0.469,0.0,-8.792,1.0,0.0533,0.0329,0.0,0.169,0.0851,120.085,82.0,4.0,SoFi Stadium,California,2023-08-07,dress
86,dorothea,surprise song,evermore (deluxe version),0.605,0.488,4.0,-8.322,1.0,0.0264,0.696,0.0,0.129,0.354,119.966,69.0,14.0,GEHA Field at Arrowhead Stadium,Missouri,2023-07-08,dorothea
87,this is why we cant have nice things,surprise song,reputation,0.567,0.789,5.0,-5.986,1.0,0.115,0.0156,0.0,0.382,0.438,163.96,78.0,11.0,Lumen Field,Washington,2023-07-22,this is why we cant have nice things
88,this love,surprise song,1989 (Deluxe),0.481,0.435,4.0,-8.795,1.0,0.0321,0.678,0.0,0.0928,0.107,143.95,68.0,14.0,Lincoln Financial Field,Pennsylvania,2023-05-13,this love
89,tied together with a smile,surprise song,Taylor Swift,0.479,0.578,2.0,-4.963,1.0,0.0294,0.525,0.0,0.0841,0.192,146.165,61.0,10.0,Lumen Field,Washington,2023-07-23,tied together with a smile
90,dear john,surprise song,Speak Now (Taylor's Version),0.419,0.47,4.0,-5.016,1.0,0.0296,0.0236,0.0,0.163,0.133,119.294,85.0,18.0,U.S. Bank Stadium,Minnesota,2023-06-24,dear john
91,daylight,surprise song,Lover,0.557,0.496,0.0,-9.602,1.0,0.0563,0.808,0.000173,0.0772,0.265,149.983,85.0,18.0,U.S. Bank Stadium,Minnesota,2023-06-24,daylight
92,everything has changed,surprise song,Red (Taylor's Version),0.498,0.61,6.0,-5.098,1.0,0.0363,0.271,0.0,0.223,0.474,79.918,77.0,11.0,Lumen Field,Washington,2023-07-22,everything has changed
93,out of the woods,surprise song,1989 (Deluxe),0.553,0.841,7.0,-6.937,1.0,0.0396,0.000743,1.19e-05,0.341,0.338,92.008,78.0,17.0,Nissan Stadium,Tennessee,2023-05-06,out of the woods
94,youre on your own kid,surprise song,Midnights (The Til Dawn Edition),0.694,0.386,2.0,-10.312,1.0,0.0597,0.423,1.05e-05,0.126,0.39,120.044,69.0,5.0,SoFi Stadium,California,2023-08-05,youre on your own kid
95,youre on your own kid,surprise song,Midnights (The Til Dawn Edition),0.694,0.386,2.0,-10.312,1.0,0.0597,0.423,1.05e-05,0.126,0.39,120.044,69.0,6.0,Raymond James Stadium,Florida,2023-04-14,youre on your own kid
96,intro,surprise song,,,,,,,,,,,,,,3.0,SoFi Stadium,California,2023-08-08,intro
97,intro,surprise song,,,,,,,,,,,,,,11.0,Allegiant Stadium,Nevada,2023-03-25,intro
98,death by a thousand cuts,surprise song,Lover,0.712,0.732,4.0,-6.754,1.0,0.0629,0.454,0.0,0.319,0.313,94.071,81.0,5.0,SoFi Stadium,California,2023-08-05,death by a thousand cuts
99,death by a thousand cuts,surprise song,Lover,0.712,0.732,4.0,-6.754,1.0,0.0629,0.454,0.0,0.319,0.313,94.071,81.0,9.0,AT&T Stadium,Texas,2023-04-01,death by a thousand cuts
100,i can see you,surprise song,Speak Now (Taylor's Version),0.694,0.764,6.0,-4.893,1.0,0.0337,0.0586,0.0,0.0608,0.819,123.044,91.0,7.0,SoFi Stadium,California,2023-08-03,i can see you
101,i can see you,surprise song,Speak Now (Taylor's Version),0.694,0.764,6.0,-4.893,1.0,0.0337,0.0586,0.0,0.0608,0.819,123.044,91.0,15.0,GEHA Field at Arrowhead Stadium,Missouri,2023-07-07,i can see you
102,our song,surprise song,Taylor Swift,0.668,0.672,2.0,-4.931,1.0,0.0303,0.111,0.0,0.329,0.539,89.011,78.0,6.0,SoFi Stadium,California,2023-08-04,our song
103,our song,surprise song,Taylor Swift,0.668,0.672,2.0,-4.931,1.0,0.0303,0.111,0.0,0.329,0.539,89.011,78.0,12.0,Allegiant Stadium,Nevada,2023-03-24,our song
104,clean,surprise song,1989 (Deluxe),0.815,0.377,4.0,-7.754,1.0,0.0346,0.232,0.0,0.1,0.211,103.97,74.0,7.0,MetLife Stadium,New Jersey,2023-05-28,clean
105,clean,surprise song,1989 (Deluxe),0.815,0.377,4.0,-7.754,1.0,0.0346,0.232,0.0,0.1,0.211,103.97,74.0,9.0,AT&T Stadium,Texas,2023-04-01,clean
106,maroon,surprise song,Midnights (The Til Dawn Edition),0.65,0.397,7.0,-8.237,1.0,0.0365,0.0609,1.4e-06,0.089,0.0382,108.055,69.0,7.0,SoFi Stadium,California,2023-08-03,maroon
107,maroon,surprise song,Midnights (The Til Dawn Edition),0.65,0.397,7.0,-8.237,1.0,0.0365,0.0609,1.4e-06,0.089,0.0382,108.055,69.0,9.0,MetLife Stadium,New Jersey,2023-05-26,maroon
108,red,surprise song,Red (Taylor's Version),0.516,0.777,1.0,-4.908,0.0,0.0375,0.00108,1.62e-06,0.0761,0.408,125.047,81.0,5.0,SoFi Stadium,California,2023-08-05,red
109,red,surprise song,Red (Taylor's Version),0.516,0.777,1.0,-4.908,0.0,0.0375,0.00108,1.62e-06,0.0761,0.408,125.047,81.0,6.0,SoFi Stadium,California,2023-08-04,red
110,red,surprise song,Red (Taylor's Version),0.516,0.777,1.0,-4.908,0.0,0.0375,0.00108,1.62e-06,0.0761,0.408,125.047,81.0,12.0,Empower Field at Mile High,Colorado,2023-07-15,red
111,red,surprise song,Red (Taylor's Version),0.516,0.777,1.0,-4.908,0.0,0.0375,0.00108,1.62e-06,0.0761,0.408,125.047,81.0,10.0,Gillette Stadium,Massachusetts,2023-05-21,red
112,invisible string,normal song,folklore (deluxe version),0.651,0.459,4.0,-11.128,0.0,0.0507,0.859,6.63e-05,0.105,0.454,83.455,74.0,17.0,Nissan Stadium,Tennessee,2023-05-06,invisible string
113,invisible string,normal song,folklore (deluxe version),0.651,0.459,4.0,-11.128,0.0,0.0507,0.859,6.63e-05,0.105,0.454,83.455,74.0,11.0,Allegiant Stadium,Nevada,2023-03-25,invisible string
114,invisible string,normal song,folklore (deluxe version),0.651,0.459,4.0,-11.128,0.0,0.0507,0.859,6.63e-05,0.105,0.454,83.455,74.0,12.0,Allegiant Stadium,Nevada,2023-03-24,invisible string
115,invisible string,normal song,folklore (deluxe version),0.651,0.459,4.0,-11.128,0.0,0.0507,0.859,6.63e-05,0.105,0.454,83.455,74.0,13.0,State Farm Stadium,Arizona,2023-03-18,invisible string
116,invisible string,normal song,folklore (deluxe version),0.651,0.459,4.0,-11.128,0.0,0.0507,0.859,6.63e-05,0.105,0.454,83.455,74.0,14.0,State Farm Stadium,Arizona,2023-03-17,invisible string
117,no body no crime,normal song,evermore (deluxe version),0.546,0.613,7.0,-7.589,0.0,0.0264,0.418,0.0,0.103,0.535,79.015,72.0,2.0,SoFi Stadium,California,2023-08-09,no body no crime
118,no body no crime,normal song,evermore (deluxe version),0.546,0.613,7.0,-7.589,0.0,0.0264,0.418,0.0,0.103,0.535,79.015,72.0,3.0,SoFi Stadium,California,2023-08-08,no body no crime
119,no body no crime,normal song,evermore (deluxe version),0.546,0.613,7.0,-7.589,0.0,0.0264,0.418,0.0,0.103,0.535,79.015,72.0,4.0,SoFi Stadium,California,2023-08-07,no body no crime
120,no body no crime,normal song,evermore (deluxe version),0.546,0.613,7.0,-7.589,0.0,0.0264,0.418,0.0,0.103,0.535,79.015,72.0,5.0,SoFi Stadium,California,2023-08-05,no body no crime
121,no body no crime,normal song,evermore (deluxe version),0.546,0.613,7.0,-7.589,0.0,0.0264,0.418,0.0,0.103,0.535,79.015,72.0,6.0,SoFi Stadium,California,2023-08-04,no body no crime
122,no body no crime,normal song,evermore (deluxe version),0.546,0.613,7.0,-7.589,0.0,0.0264,0.418,0.0,0.103,0.535,79.015,72.0,7.0,SoFi Stadium,California,2023-08-03,no body no crime
123,no body no crime,normal song,evermore (deluxe version),0.546,0.613,7.0,-7.589,0.0,0.0264,0.418,0.0,0.103,0.535,79.015,72.0,8.0,Levi's Stadium,California,2023-07-29,no body no crime
124,no body no crime,normal song,evermore (deluxe version),0.546,0.613,7.0,-7.589,0.0,0.0264,0.418,0.0,0.103,0.535,79.015,72.0,9.0,Levi's Stadium,California,2023-07-28,no body no crime
125,no body no crime,normal song,evermore (deluxe version),0.546,0.613,7.0,-7.589,0.0,0.0264,0.418,0.0,0.103,0.535,79.015,72.0,10.0,Lumen Field,Washington,2023-07-23,no body no crime
126,no body no crime,normal song,evermore (deluxe version),0.546,0.613,7.0,-7.589,0.0,0.0264,0.418,0.0,0.103,0.535,79.015,72.0,11.0,Lumen Field,Washington,2023-07-22,no body no crime
127,nothing new,normal song,Red (Taylor's Version),0.606,0.377,0.0,-9.455,1.0,0.0275,0.817,0.0,0.154,0.446,101.96,77.0,7.0,MetLife Stadium,New Jersey,2023-05-28,nothing new
128,nothing new,normal song,Red (Taylor's Version),0.606,0.377,0.0,-9.455,1.0,0.0275,0.817,0.0,0.154,0.446,101.96,77.0,8.0,MetLife Stadium,New Jersey,2023-05-27,nothing new
129,nothing new,normal song,Red (Taylor's Version),0.606,0.377,0.0,-9.455,1.0,0.0275,0.817,0.0,0.154,0.446,101.96,77.0,9.0,MetLife Stadium,New Jersey,2023-05-26,nothing new
130,nothing new,normal song,Red (Taylor's Version),0.606,0.377,0.0,-9.455,1.0,0.0275,0.817,0.0,0.154,0.446,101.96,77.0,10.0,Gillette Stadium,Massachusetts,2023-05-21,nothing new
131,nothing new,normal song,Red (Taylor's Version),0.606,0.377,0.0,-9.455,1.0,0.0275,0.817,0.0,0.154,0.446,101.96,77.0,11.0,Gillette Stadium,Massachusetts,2023-05-20,nothing new
132,nothing new,normal song,Red (Taylor's Version),0.606,0.377,0.0,-9.455,1.0,0.0275,0.817,0.0,0.154,0.446,101.96,77.0,12.0,Gillette Stadium,Massachusetts,2023-05-19,nothing new
133,nothing new,normal song,Red (Taylor's Version),0.606,0.377,0.0,-9.455,1.0,0.0275,0.817,0.0,0.154,0.446,101.96,77.0,13.0,Lincoln Financial Field,Pennsylvania,2023-05-14,nothing new
134,nothing new,normal song,Red (Taylor's Version),0.606,0.377,0.0,-9.455,1.0,0.0275,0.817,0.0,0.154,0.446,101.96,77.0,14.0,Lincoln Financial Field,Pennsylvania,2023-05-13,nothing new
