,song,surprise,Album,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity,Unnamed: 0,venue_name,state,date,names
37,daylight,surprise song,Lover,0.557,0.496,0.0,-9.602,1.0,0.0563,0.808,0.000173,0.0772,0.265,149.983,85.0,1,1,1,1,1
38,dear john,surprise song,Speak Now (Taylor's Version),0.419,0.47,4.0,-5.016,1.0,0.0296,0.0236,0.0,0.163,0.133,119.294,85.0,1,1,1,1,1
39,dear reader,not sang yet,Midnights (The Til Dawn Edition),0.475,0.386,0.0,-12.038,1.0,0.0737,0.497,0.00104,0.119,0.162,107.601,65.0,0,0,0,0,0
40,death by a thousand cuts,surprise song,Lover,0.712,0.732,4.0,-6.754,1.0,0.0629,0.454,0.0,0.319,0.313,94.071,81.0,2,2,2,2,2
41,delicate,normal song,reputation,0.75,0.404,9.0,-10.178,0.0,0.0682,0.216,0.000357,0.0911,0.0499,95.045,87.0,52,52,52,52,52
42,dont blame me,normal song,reputation,0.615,0.534,9.0,-6.719,0.0,0.0386,0.106,1.76e-05,0.0607,0.193,135.917,91.0,52,52,52,52,52
43,dont you,not sang yet,Fearless (Taylor's Version),0.563,0.473,3.0,-11.548,1.0,0.0503,0.514,1.2e-05,0.109,0.405,101.934,70.0,0,0,0,0,0
44,dorothea,surprise song,evermore (deluxe version),0.605,0.488,4.0,-8.322,1.0,0.0264,0.696,0.0,0.129,0.354,119.966,69.0,1,1,1,1,1
45,dress,surprise song,reputation,0.719,0.469,0.0,-8.792,1.0,0.0533,0.0329,0.0,0.169,0.0851,120.085,82.0,1,1,1,1,1
46,electric touch,not sang yet,Speak Now (Taylor's Version),0.547,0.855,7.0,-4.7,1.0,0.0597,0.0164,0.0,0.144,0.282,131.073,84.0,0,0,0,0,0
47,enchanted,normal song,Speak Now (Taylor's Version),0.505,0.532,8.0,-3.526,1.0,0.0265,0.012,0.0,0.149,0.216,81.907,90.0,52,52,52,52,52
48,end game,not sang yet,reputation,0.649,0.589,2.0,-6.237,1.0,0.0558,0.00845,0.0,0.108,0.151,159.073,81.0,0,0,0,0,0
49,epiphany,not sang yet,folklore (deluxe version),0.317,0.254,1.0,-13.679,1.0,0.0286,0.727,0.000326,0.0867,0.103,93.933,70.0,0,0,0,0,0
